DateTime,evap
2005-04-16,0
2005-04-17,-7.36761626873209e-09
2005-04-18,-6.86551328099145e-09
2005-04-19,-1.4844262579922e-08
2005-04-20,-9.02440338882494e-09
2005-04-21,0
2005-04-22,-2.19489962268009e-08
2005-04-23,-1.05317223405632e-08
2005-04-24,0
2005-04-25,0
2005-04-26,-2.25289048253944e-08
2005-04-27,-9.66285977598618e-09
2005-04-28,-1.66001088084955e-10
2005-04-29,-2.60205291393111e-08
2005-04-30,-1.3354670801819e-08
2005-05-01,0
2005-05-02,-1.83440199751888e-08
2005-05-03,-1.5500038989293e-08
2005-05-04,-1.80045428867531e-08
2005-05-05,-1.2361039489353e-08
2005-05-06,-1.096947145896e-08
2005-05-07,-1.32378593322708e-08
2005-05-08,-1.7958742817141e-08
2005-05-09,-1.43399760444145e-08
2005-05-10,0
2005-05-11,0
2005-05-12,0
2005-05-13,-4.972324843625e-08
2005-05-14,-2.87565507756747e-08
2005-05-15,-4.64436789096812e-09
2005-05-16,-1.37362253825292e-09
2005-05-17,-6.4793963418037e-09
2005-05-18,-4.54122130655625e-09
2005-05-19,-1.5895725994378e-08
2005-05-20,-7.72984483350627e-09
2005-05-21,-7.87637213630468e-09
2005-05-22,-9.45090333476624e-09
2005-05-23,-2.61371213079611e-09
2005-05-24,-8.00132269350198e-09
2005-05-25,-1.41462570343602e-08
2005-05-26,-1.72596894538555e-08
2005-05-27,-5.11993546247616e-09
2005-05-28,0
2005-05-29,-9.66453741420358e-10
2005-05-30,-5.45012534830921e-09
2005-05-31,-4.73547410545621e-09
2005-06-01,-4.46101165802951e-09
2005-06-02,-2.66526012395765e-09
2005-06-03,0
2005-06-04,0
2005-06-05,0
2005-06-06,0
2005-06-07,0
2005-06-08,0
2005-06-09,0
2005-06-10,0
2005-06-11,0
2005-06-12,0
2005-06-13,0
2005-06-14,-3.26923217739053e-09
2005-06-15,-4.50381924008271e-09
2005-06-16,-5.89629943691704e-08
2005-06-17,-2.78519176746617e-08
2005-06-18,-2.36128680271531e-08
2005-06-19,-3.44465954902486e-08
2005-06-20,-8.7296896134893e-09
2005-06-21,-1.71204658945368e-08
2005-06-22,-1.68152136267329e-08
2005-06-23,-5.03863492754318e-08
2005-06-24,-3.38787255041256e-08
2005-06-25,-1.27138519338985e-08
2005-06-26,0
2005-06-27,-3.05868649271864e-09
2005-06-28,-2.97764258768708e-09
2005-06-29,-1.32579036566654e-08
2005-06-30,-1.19866930334988e-08
2005-07-01,-3.67871692608544e-08
2005-07-02,-3.7614386764214e-08
2005-07-03,-5.7665757627908e-08
2005-07-04,-3.92196294710096e-08
2005-07-05,-4.04397788782211e-08
2005-07-06,-1.58196931603162e-08
2005-07-07,-3.32770132454973e-08
2005-07-08,-2.15540182996151e-08
2005-07-09,-4.02853482031864e-08
2005-07-10,-5.33929518599751e-08
2005-07-11,-3.52576783746418e-08
2005-07-12,-1.83927818280957e-08
2005-07-13,-2.25226147943591e-08
2005-07-14,-1.62041810525272e-08
2005-07-15,-2.55292746291109e-08
2005-07-16,-2.44707751498569e-08
2005-07-17,-2.93161420999791e-08
2005-07-18,-2.89651011766617e-08
2005-07-19,-2.64394061236002e-08
2005-07-20,-2.92474288616281e-08
