time,FLOW,SALT,TEMP,OGM_doc,OGM_poc,OGM_don,NIT_nit,NIT_amm,OGM_pon,PHS_frp,OGM_dop,OGM_pop
2008-01-01,1.91433914143561,0,0.962637599228417,125,12.5,22.1680269434616,5.54200673586539,5.54200673586539,22.1680269434616,0.1835803085900905,0.0497521705055299,0.113372541848838
2008-01-02,1.91433914143561,0,0.962637599228417,125,12.5,14.3060869314165,3.57652173285413,3.57652173285413,14.3060869314165,0.14233387093091907,0.0385739574666418,0.0879002375720689
2008-01-03,1.91433914143561,0,0.962637599228417,125,12.5,17.125291319114,4.28132282977849,4.28132282977849,17.125291319114,0.14040787588095374,0.038051992802487,0.0867108128669913
2008-01-04,1.91433914143561,0,0.962637599228417,125,12.5,14.1619935208244,3.54049838020611,3.54049838020611,14.1619935208244,0.2282441477705118,0.0618565348537649,0.140955309388022
2008-01-05,1.91433914143561,0,0.962637599228417,125,12.5,11.8564210351703,2.96410525879257,2.96410525879257,11.8564210351703,0.2152003866030825,0.0583215400897873,0.132899955465927
2008-01-06,1.91433914143562,0,0.985449034170133,125,12.5,29.7329848140874,7.43324620352186,7.43324620352186,29.7329848140874,0.16831358609793218,0.0456147301323009,0.103944367618553
2008-01-07,1.91433914143562,0,2.66008061253497,125,12.5,9.48389866196913,2.37097466549228,2.37097466549228,9.48389866196913,0.1992584580477859,0.0540011118599759,0.12305479845444
2008-01-08,1.91433914143561,0,5.83823251643823,125,12.5,25.3272233654172,6.3318058413543,6.3318058413543,25.3272233654172,0.20271786927543672,0.0549386482361193,0.12519120538823
2008-01-09,1.91433914143562,0,6.79186835986155,125,12.5,31.7595764258527,7.93989410646317,7.93989410646317,31.7595764258527,0.1358839731613937,0.0368259681749953,0.083917014586923
2008-01-10,1.91433914143561,0,2.42105490951606,125,12.5,20.2539436300776,5.0634859075194,5.0634859075194,20.2539436300776,0.16716811380694108,0.045304295243241,0.103236965467176
2008-01-11,16.2946334564607,0,1.7090852049708,125,12.5,2.32174624369317,0.580436560923293,0.580436560923293,2.32174624369317,0.024586667878921192,0.00666324238078412,0.0151838345541213
2008-01-12,1.93102397478216,0,3.12545260837338,125,12.5,10.117639288608,2.529409822152,2.529409822152,10.117639288608,0.15862085088984557,0.0429878982109402,0.0979584858186581
2008-01-13,1.93102397478216,0,1.15358338408133,125,12.5,9.05470390504676,2.26367597626169,2.26367597626169,9.05470390504676,0.1662851697103374,0.0450650082217816,0.102691691209217
2008-01-14,1.93102397478216,0,0.962609286906368,125,12.5,28.3642837902619,7.09107094756548,7.09107094756548,28.3642837902619,0.16549064823785414,0.0448496846499189,0.102201023557655
2008-01-15,1.93102397478216,0,0.962637599228417,125,12.5,31.2094265800655,7.80235664501637,7.80235664501637,31.2094265800655,0.1840812546016501,0.0498879320780677,0.113681907940963
2008-01-16,1.93102397478216,0,0.962637599228417,125,12.5,22.283146828703,5.57078670717576,5.57078670717576,22.283146828703,0.16230015101897038,0.0439850267634037,0.10023068816469
2008-01-17,1.93102397478216,0,0.962637599228417,125,12.5,20.7995820155505,5.19989550388761,5.19989550388761,20.7995820155505,0.16253282337138703,0.0440480833877129,0.100374378172698
2008-01-18,1.93102397478216,0,0.96538124481688,125,12.5,12.3076522622677,3.07691306556693,3.07691306556693,12.3076522622677,0.1891435502980035,0.0512598667946429,0.116808198201033
2008-01-19,1.93102397478216,0,0.961965518635008,125,12.5,12.3467849811409,3.08669624528523,3.08669624528523,12.3467849811409,0.2377825170494427,0.064441532004901,0.146845860387475
2008-01-20,1.93102397478216,0,0.962637599228417,125,12.5,13.8181338603654,3.45453346509136,3.45453346509136,13.8181338603654,0.19587243533111962,0.0530834645326076,0.120963713603921
2008-01-21,1.93102397478216,0,0.962637599228417,125,12.5,35.1038121088403,8.77595302721008,8.77595302721008,35.1038121088403,0.1470556926407927,0.0398536201963245,0.0908162634438893
2008-01-22,1.93102397478216,0,0.962637599228417,125,12.5,19.7123826771222,4.92809566928055,4.92809566928055,19.7123826771222,0.16848164212842778,0.0456602750621897,0.104048152929171
2008-01-23,1.93102397478216,0,0.962637599228417,125,12.5,8.62557788772836,2.15639447193209,2.15639447193209,8.62557788772836,0.2026657417506841,0.0549245211354544,0.125159013319119
2008-01-24,1.93102397478216,0,0.962637599228417,125,12.5,12.3033143722145,3.07582859305361,3.07582859305361,12.3033143722145,0.19970079481791259,0.0541209897193021,0.123327969604263
2008-01-25,1.93102397478216,0,0.962637599228417,125,12.5,13.4028556609213,3.35071391523032,3.35071391523032,13.4028556609213,0.16907549984973416,0.0458212166731574,0.104414897924198
2008-01-26,1.93102397478216,0,0.962637599228417,125,12.5,15.3719522271708,3.84298805679271,3.84298805679271,15.3719522271708,0.208990652000814,0.05663863751108,0.129065048544412
2008-01-27,1.93102397478216,0,0.962637599228417,125,12.5,13.8070324025274,3.45175810063184,3.45175810063184,13.8070324025274,0.10454141891503468,0.0283318104141784,0.0645609895849223
2008-01-28,1.93102397478216,0,0.962637599228417,125,12.5,16.931050662394,4.23276266559849,4.23276266559849,16.931050662394,0.12401955575431396,0.0336105878201022,0.0765899806074803
2008-01-29,1.91433914143562,0,0.962637054251912,125,12.5,19.544200799097,4.88605019977425,4.88605019977425,19.544200799097,0.27426119759315637,0.0743276333420547,0.169373770751581
2008-01-30,1.91433914143561,0,1.77401186155072,125,12.5,17.628191118522,4.40704777963051,4.40704777963051,17.628191118522,0.2098632339379774,0.0568751162796974,0.129603923508439
2008-01-31,1.91433914143561,0,0.961687749098643,125,12.5,43.0357078183905,10.7589269545976,10.7589269545976,43.0357078183905,0.1880733100499128,0.0509698205706564,0.116147256631391
2008-02-01,1.91433914143561,0,0.962637599228417,125,12.5,33.4032335390593,8.35080838476482,8.35080838476482,33.4032335390593,0.17659001004883856,0.0478577269915171,0.109055586942342
2008-02-02,1.91433914143562,0,1.35911887444384,125,12.5,36.649881677699,9.16247041942475,9.16247041942475,36.649881677699,0.1572623706932372,0.0426197359669112,0.0971195377085711
2008-02-03,1.91433914143562,0,0.961619647970191,125,12.5,34.5893766732006,8.64734416830016,8.64734416830016,34.5893766732006,0.16047462166114926,0.0434902893453728,0.0991033074281317
2008-02-04,1.91433914143561,0,0.962637599228417,125,12.5,24.9815585790663,6.24538964476659,6.24538964476659,24.9815585790663,0.17794207385070884,0.048224150325924,0.109890572519701
2008-02-05,1.91433914143562,0,1.19162275830158,125,12.5,13.5091994842007,3.37729987105017,3.37729987105017,13.5091994842007,0.2147334766978822,0.0581950026556112,0.132611608838919
